caldt,b5ret
1999-12-31,-0.004854
2000-01-31,-0.005587
2000-02-29,0.009169
2000-03-31,0.017635
2000-04-28,-0.004274
2000-05-31,0.004903
2000-06-30,0.018501
2000-07-31,0.007200
2000-08-31,0.013304
2000-09-29,0.010004
2000-10-31,0.008094
2000-11-30,0.016327
2000-12-29,0.023355
2001-01-31,0.013510
2001-02-28,0.011310
2001-03-30,0.008259
2001-04-30,-0.008237
2001-05-31,0.002011
2001-06-29,0.002230
2001-07-31,0.022406
2001-08-31,0.011976
2001-09-28,0.023823
2001-10-31,0.020708
2001-11-30,-0.018299
2001-12-31,-0.009027
2002-01-31,0.003923
2002-02-28,0.011665
2002-03-28,-0.023253
2002-04-30,0.023723
2002-05-31,0.010847
2002-06-28,0.016332
2002-07-31,0.028037
2002-08-30,0.016825
2002-09-30,0.030206
2002-10-31,-0.003478
2002-11-29,-0.017077
2002-12-31,0.028048
2003-01-31,-0.006167
2003-02-28,0.016693
2003-03-31,0.000020
2003-04-30,0.001737
2003-05-30,0.025215
2003-06-30,-0.002791
2003-07-31,-0.030690
2003-08-29,-0.002624
2003-09-30,0.033421
2003-10-31,-0.014593
2003-11-28,-0.000681
2003-12-31,0.010046
2004-01-30,0.005584
2004-02-27,0.012425
2004-03-31,0.011272
2004-04-30,-0.033809
2004-05-28,-0.004927
2004-06-30,0.005570
2004-07-30,0.007603
2004-08-31,0.020377
2004-09-30,0.000598
2004-10-29,0.006911
2004-11-30,-0.014843
2004-12-31,0.007490
2005-01-31,0.000411
2005-02-28,-0.010545
2005-03-31,-0.002861
2005-04-29,0.015349
2005-05-31,0.010154
2005-06-30,0.004573
2005-07-29,-0.015060
2005-08-31,0.015683
2005-09-30,-0.012072
2005-10-31,-0.008743
2005-11-30,0.004313
2005-12-30,0.005806
2006-01-31,-0.002261
2006-02-28,-0.001712
2006-03-31,-0.006159
2006-04-28,-0.001292
2006-05-31,-0.001677
2006-06-30,0.000956
2006-07-31,0.013136
2006-08-31,0.013386
2006-09-29,0.007946
2006-10-31,0.004238
2006-11-30,0.008574
2006-12-29,-0.007490
2007-01-31,-0.000763
2007-02-28,0.015508
2007-03-30,0.003053
2007-04-30,0.004633
2007-05-31,-0.011059
2007-06-29,0.000799
2007-07-31,0.018827
2007-08-31,0.017403
2007-09-28,0.004294
2007-10-31,0.007296
2007-11-30,0.037483
2007-12-31,0.000672
2008-01-31,0.033951
2008-02-29,0.014841
2008-03-31,0.004523
2008-04-30,-0.023902
2008-05-30,-0.015239
2008-06-30,0.007218
2008-07-31,0.007249
2008-08-29,0.008864
2008-09-30,0.009371
2008-10-31,0.010844
2008-11-28,0.045233
2008-12-31,0.023094
2009-01-30,-0.016891
2009-02-27,-0.005036
2009-03-31,0.018826
2009-04-30,-0.016750
2009-05-29,-0.013248
2009-06-30,-0.007250
2009-07-31,0.006035
2009-08-31,0.009517
2009-09-30,0.006463
2009-10-30,0.003621
2009-11-30,0.018421
2009-12-31,-0.027479
2010-01-29,0.018564
2010-02-26,0.004494
2010-03-31,-0.007662
2010-04-30,0.009075
2010-05-28,0.015079
2010-06-30,0.018435
2010-07-30,0.011016
2010-08-31,0.013728
2010-09-30,0.005236
2010-10-29,0.006257
2010-11-30,-0.012155
2010-12-31,-0.022323
2011-01-31,0.006702
2011-02-28,-0.005920
2011-03-31,-0.002384
2011-04-29,0.017115
2011-05-31,0.016184
2011-06-30,0.000608
2011-07-29,0.021177
2011-08-31,0.020564
2011-09-30,0.002422
2011-10-31,0.000677
2011-11-30,0.002623
2011-12-30,0.006518
2012-01-31,0.007973
2012-02-29,-0.005721
2012-03-30,-0.007109
2012-04-30,0.012062
2012-05-31,0.008390
2012-06-29,-0.001385
2012-07-31,0.008221
2012-08-31,0.001074
2012-09-28,0.000245
2012-10-31,-0.003651
2012-11-30,0.007181
2012-12-31,-0.003136
2013-01-31,-0.005317
2013-02-28,0.006808
2013-03-28,0.001281
2013-04-30,0.005781
2013-05-31,-0.014887
2013-06-28,-0.016287
2013-07-31,0.002921
2013-08-30,-0.009388
2013-09-30,0.014959
2013-10-31,0.005137
2013-11-29,0.000810
2013-12-31,-0.015095
2014-01-31,0.014623
2014-02-28,0.001652
2014-03-31,-0.007456
2014-04-30,0.005358
2014-05-30,0.009674
2014-06-30,-0.001924
2014-07-31,-0.003838
2014-08-29,0.008749
2014-09-30,-0.004205
2014-10-31,0.009374
2014-11-28,0.010032
2014-12-31,-0.004644
2015-01-30,0.025385
2015-02-27,-0.014879
2015-03-31,0.008815
2015-04-30,-0.001265
2015-05-29,-0.000934
2015-06-30,-0.005355
2015-07-31,0.007164
2015-08-31,0.000371
2015-09-30,0.012089
2015-10-30,-0.005626
2015-11-30,-0.004427
2015-12-31,-0.002052
2016-01-29,0.022615
2016-02-29,0.006527
2016-03-31,0.003650
2016-04-29,-0.003028
2016-05-31,-0.001997
2016-06-30,0.020241
2016-07-29,-0.000004
2016-08-31,-0.007998
2016-09-30,0.003735
2016-10-31,-0.006222
2016-11-30,-0.023927
2016-12-30,0.000090
2017-01-31,0.002885
2017-02-28,0.000809
2017-03-31,0.003220
2017-04-28,0.007231
2017-05-31,0.004701
2017-06-30,-0.003845
2017-07-31,0.004778
2017-08-31,0.007760
2017-09-29,-0.008855
2017-10-31,-0.001956
2017-11-30,-0.003261
2017-12-29,-0.000897
2018-01-31,-0.012369
2018-02-28,-0.003601
2018-03-29,0.006214
2018-04-30,-0.008743
2018-05-31,0.007578
2018-06-29,0.000589
2018-07-31,-0.002330
2018-08-31,0.007665
2018-09-28,-0.007518
2018-10-31,0.001461
2018-11-30,0.009218
2018-12-31,0.017452
2019-01-31,0.005508
2019-02-28,-0.002041
2019-03-29,0.016241
2019-04-30,-0.000107
2019-05-31,0.019902
2019-06-28,0.008867
2019-07-31,-0.001159
2019-08-30,0.022261
2019-09-30,-0.005911
2019-10-31,0.002643
2019-11-29,-0.003725
2019-12-31,-0.000824
2020-01-31,0.019282
2020-02-28,0.018282
2020-03-31,0.027033
2020-04-30,0.001673
2020-05-29,0.003103
2020-06-30,0.002134
2020-07-31,0.003856
2020-08-31,-0.001671
2020-09-30,0.000236
2020-10-30,-0.004806
2020-11-30,0.001938
2020-12-31,0.000855
2021-01-29,-0.002329
2021-02-26,-0.012922
2021-03-31,-0.008277
2021-04-30,0.005763
2021-05-28,0.003167
2021-06-30,-0.001558
2021-07-30,0.010194
2021-08-31,-0.002647
2021-09-30,-0.007415
2021-10-29,-0.008020
2021-11-30,0.002938
2021-12-31,-0.004267
2022-01-31,-0.014110
2022-02-28,-0.004369
2022-03-31,-0.033730
2022-04-29,-0.022044
2022-05-31,0.009097
2022-06-30,-0.008299
2022-07-29,0.020993
2022-08-31,-0.029354
2022-09-30,-0.031852
2022-10-31,-0.003692
2022-11-30,0.026004
2022-12-30,-0.008377
2023-01-31,0.022727
2023-02-28,-0.023878
2023-03-31,0.031704
2023-04-28,0.007311
2023-05-31,-0.011014
2023-06-30,-0.014184
2023-07-31,0.001540
2023-08-31,-0.000891
2023-09-29,-0.013444
2023-10-31,-0.008158
2023-11-30,0.030299
2023-12-29,0.024969
2024-01-31,0.004516
2024-02-29,-0.016129
2024-03-28,0.004842
2024-04-30,-0.018722
2024-05-31,0.013661
2024-06-28,0.008866
2024-07-31,0.025258
2024-08-30,0.011855
2024-09-30,0.010149
2024-10-31,-0.022266
2024-11-29,0.007307
2024-12-31,-0.010056
